5000,21.0
10000,19.7
15000,18.2
20000,17.5
25000,17.8
30000,17.1
35000,17.3
40000,17.6
45000,17.3
50000,17.0
55000,17.4
60000,17.4
65000,17.4
70000,19.0
75000,18.6
80000,17.1
85000,18.9
90000,17.6
95000,17.5
100000,17.0
105000,16.6
110000,16.3
115000,17.0
120000,16.8
125000,16.3
130000,16.5
135000,16.9
140000,16.8
145000,16.7
150000,16.4
155000,16.7
160000,16.7
165000,16.6
170000,16.5
175000,16.6
180000,16.5
185000,16.3
190000,16.7
195000,16.4
200000,16.3
205000,19.3
210000,19.1
215000,19.1
220000,19.1
225000,19.2
230000,19.0
235000,19.3
240000,19.1
245000,19.2
250000,19.0
255000,19.3
260000,19.0
265000,19.2
270000,19.1
275000,19.3
280000,19.2
285000,18.9
290000,19.3
295000,19.1
300000,19.3
305000,19.2
310000,19.2
315000,19.2
320000,19.1
325000,19.2
330000,19.1
335000,19.2
340000,19.2
345000,19.1
350000,19.1
355000,19.5
360000,19.5
365000,19.4
370000,19.3
375000,19.2
380000,19.3
385000,19.1
390000,19.2
395000,19.2
400000,19.3
405000,26.0
410000,26.3
415000,26.1
420000,26.4
425000,26.0
430000,26.0
435000,26.4
440000,26.5
445000,26.2
450000,26.2
455000,26.2
460000,26.1
465000,26.2
470000,26.3
475000,26.3
480000,26.1
485000,26.6
490000,26.5
495000,26.5
500000,27.5
505000,26.1
510000,26.3
515000,26.6
520000,26.5
525000,26.3
530000,26.7
535000,26.2
540000,26.4
545000,26.2
550000,26.6
555000,26.0
560000,26.4
565000,26.4
570000,26.3
575000,26.5
580000,26.5
585000,26.2
590000,26.4
595000,26.2
600000,26.2
605000,26.1
610000,26.3
615000,25.9
620000,26.2
625000,26.2
630000,26.2
635000,26.4
640000,26.8
645000,26.0
650000,26.1
655000,26.2
660000,26.6
665000,26.0
670000,26.1
675000,26.8
680000,26.3
685000,26.3
690000,26.4
695000,26.2
700000,26.2
705000,26.1
710000,26.2
715000,26.5
720000,26.0
725000,26.6
730000,26.0
735000,26.3
740000,26.0
745000,26.1
750000,26.1
755000,26.2
760000,26.2
765000,26.2
770000,26.2
775000,26.0
780000,26.2
785000,26.1
790000,26.1
795000,26.2
800000,26.2
